,timestamp,open,high,low,close,volume
490,2018-01-03,1.0204,1.07,1.01,1.03,98917
491,2018-01-02,1.02,1.04,1.0041,1.02,135682
492,2017-12-29,1.05,1.07,0.97,1.01,214948
493,2017-12-28,1.03,1.07,1.02,1.02,133442
494,2017-12-27,1.03,1.1,1.02,1.0201,216576
495,2017-12-26,1.06,1.1,0.99,1.03,189221
496,2017-12-22,1.02,1.1,1.02,1.1,57703
497,2017-12-21,1.05,1.0989,1.02,1.04,153965
498,2017-12-20,1.01,1.15,1.003,1.03,224464
499,2017-12-19,0.9627,1.04,0.9627,1.01,149641
500,2017-12-18,1.04,1.04,0.962,0.99,162443
501,2017-12-15,0.91,1.06,0.905,1.02,554378
502,2017-12-14,0.94,1.0,0.9,0.91,432823
503,2017-12-13,0.9341,0.95,0.9,0.9399,83253
504,2017-12-12,0.92,0.95,0.882,0.95,121749
505,2017-12-11,0.9001,0.95,0.9,0.92,90312
506,2017-12-08,0.92,0.92,0.8653,0.9,55104
507,2017-12-07,0.88,0.95,0.86,0.91,143863
508,2017-12-06,0.91,0.9399,0.85,0.89,60190
509,2017-12-05,0.95,0.971,0.9,0.9001,178596
510,2017-12-04,0.99,0.99,0.971,0.99,28450
511,2017-12-01,0.99,0.99,0.96,0.98,142416
512,2017-11-30,0.9709,1.0,0.96,0.97,98781
513,2017-11-29,1.0,1.0,0.92,0.968,85978
514,2017-11-28,0.98,1.0,0.96,0.96,37086
515,2017-11-27,1.03,1.04,0.98,0.985,126616
516,2017-11-24,1.0,1.04,0.961,1.0,42487
517,2017-11-22,0.99,1.02,0.961,0.98,126709
518,2017-11-21,1.0,1.01,0.97,0.99,136690
519,2017-11-20,1.01,1.01,0.97,0.97,103944
520,2017-11-17,1.01,1.01,0.915,1.01,191180
521,2017-11-16,1.01,1.01,0.96,1.0,61060
522,2017-11-15,1.02,1.05,0.96,1.0,62866
523,2017-11-14,1.0,1.05,0.969,1.0,32778
524,2017-11-13,1.028,1.04,0.964,0.964,38862
525,2017-11-10,1.05,1.05,1.02,1.02,22906
526,2017-11-09,1.0,1.019,1.0,1.0,15276
527,2017-11-08,1.015,1.015,1.0,1.0,68286
528,2017-11-07,1.005,1.05,1.0,1.02,20372
529,2017-11-06,1.05,1.054,1.0,1.02,43466
530,2017-11-03,1.01,1.09,1.0,1.02,22510
531,2017-11-02,1.05,1.08,1.0,1.04,13678
532,2017-11-01,1.006,1.09,1.0,1.06,32159
533,2017-10-31,1.05,1.085,1.012,1.03,18982
534,2017-10-30,1.023,1.086,1.023,1.086,10391
535,2017-10-27,1.03,1.06,1.0,1.04,36329
536,2017-10-26,0.952,1.05,0.952,1.0,52648
537,2017-10-25,0.95,1.05,0.95,1.01,39791
538,2017-10-24,1.05,1.097,0.97,0.983,80889
539,2017-10-23,1.04,1.11,1.025,1.04,56740
540,2017-10-20,1.08,1.08,1.01,1.04,159567
541,2017-10-19,1.1,1.1,1.05,1.07,22100
542,2017-10-18,1.09,1.13,1.05,1.07,40588
543,2017-10-17,1.05,1.084,1.05,1.06,30291
544,2017-10-16,1.11,1.14,1.0,1.08,157901
545,2017-10-13,1.15,1.186,1.11,1.13,61702
546,2017-10-12,1.17,1.22,1.15,1.16,54788
547,2017-10-11,1.2,1.239,1.14,1.19,45293
548,2017-10-10,1.25,1.3,1.2,1.22,74540
549,2017-10-09,1.3,1.3,1.19,1.29,199820
550,2017-10-06,1.25,1.29,1.18,1.29,306309
551,2017-10-05,1.11,1.2,1.11,1.19,71265
552,2017-10-04,1.25,1.27,1.12,1.14,209445
553,2017-10-03,1.2,1.28,1.19,1.25,353288
554,2017-10-02,1.25,1.25,1.09,1.18,868638
555,2017-09-29,1.1,1.22,1.06,1.11,343312
556,2017-09-28,1.02,1.06,1.01,1.05,45689
557,2017-09-27,1.0,1.04,0.97,1.02,67988
558,2017-09-26,1.02,1.079,1.0,1.0,107193
559,2017-09-25,1.05,1.1,1.01,1.04,78207
560,2017-09-22,1.0,1.06,1.0,1.04,74988
561,2017-09-21,0.996,1.07,0.96,1.01,124199
562,2017-09-20,0.95,1.0,0.95,0.971,105967
563,2017-09-19,1.04,1.04,0.95,0.997,190589
564,2017-09-18,0.99,1.02,0.882,1.02,176225
565,2017-09-15,0.89,0.955,0.85,0.942,249956
566,2017-09-14,0.891,0.92,0.85,0.89,186891
567,2017-09-13,0.91,0.945,0.86,0.9,320159
568,2017-09-12,0.96,0.999,0.9,0.92,105550
569,2017-09-11,0.908,0.98,0.87,0.966,102079
570,2017-09-08,1.0,1.0,0.8,0.875,607595
571,2017-09-07,1.05,1.05,0.85,1.0,526796
572,2017-09-06,1.1,1.1,1.0,1.0,94683
573,2017-09-05,1.1,1.125,1.05,1.1,46853
574,2017-09-01,1.1,1.15,1.05,1.05,45281
575,2017-08-31,1.2,1.2,1.05,1.05,52228
576,2017-08-30,1.1,1.195,1.1,1.195,35118
577,2017-08-29,1.05,1.15,1.05,1.125,71874
578,2017-08-28,1.15,1.15,1.05,1.05,64215
579,2017-08-25,1.2,1.2,1.05,1.15,106458
580,2017-08-24,1.15,1.2,1.1,1.15,30120
581,2017-08-23,1.11,1.2,1.1,1.15,16500
582,2017-08-22,1.15,1.2,1.15,1.15,40330
583,2017-08-21,1.1,1.175,1.1,1.15,16897
584,2017-08-18,1.24,1.24,1.0,1.175,102268
585,2017-08-17,1.15,1.25,1.125,1.2,69383
586,2017-08-16,1.3,1.3,1.1,1.2,109876
587,2017-08-15,1.275,1.29,1.2,1.2,71190
588,2017-08-14,1.26,1.3,1.2,1.225,55391
589,2017-08-11,1.25,1.3,1.2,1.25,21533
590,2017-08-10,1.3,1.3,1.25,1.25,42576
591,2017-08-09,1.3,1.3,1.25,1.25,64209
592,2017-08-08,1.3,1.3,1.25,1.25,20251
593,2017-08-07,1.3,1.336,1.25,1.3,78616
594,2017-08-04,1.35,1.395,1.3,1.3,105168
595,2017-08-03,1.3,1.325,1.2,1.3,137651
596,2017-08-02,1.3,1.3,1.25,1.25,78847
597,2017-08-01,1.3,1.3,1.25,1.3,51362
598,2017-07-31,1.3,1.35,1.2,1.3,198131
599,2017-07-28,1.25,1.35,1.2,1.25,596941
600,2017-07-27,1.35,1.35,1.2,1.25,290773
601,2017-07-26,1.3,1.3,1.25,1.25,158087
602,2017-07-25,1.3,1.35,1.25,1.25,233963
603,2017-07-24,1.3,1.35,1.25,1.3,186577
604,2017-07-21,1.35,1.35,1.25,1.25,252629
605,2017-07-20,1.3,1.4,1.25,1.35,649522
606,2017-07-19,1.45,1.61,1.45,1.45,29197
607,2017-07-18,1.5,1.5,1.35,1.4,42059
608,2017-07-17,1.4,1.505,1.35,1.35,45340
609,2017-07-14,1.45,1.525,1.35,1.375,31731
610,2017-07-13,1.5723,1.6,1.35,1.45,27405
611,2017-07-12,1.4,1.4,1.35,1.4,10083
612,2017-07-11,1.4,1.4,1.35,1.35,17675
613,2017-07-10,1.45,1.45,1.3,1.35,66402
614,2017-07-07,1.35,1.545,1.35,1.4,23062
615,2017-07-06,1.4,1.41,1.3,1.375,19188
616,2017-07-05,1.495,1.55,1.4,1.4,33060
617,2017-07-03,1.45,1.45,1.4,1.4,13870
618,2017-06-30,1.55,1.55,1.4,1.45,22262
619,2017-06-29,1.6,1.7,1.3,1.5,52353
620,2017-06-28,1.65,1.7,1.55,1.6,68591
621,2017-06-27,1.5,1.7,1.45,1.6,104721
622,2017-06-26,1.2,1.65,1.2,1.45,275081
623,2017-06-23,1.2,1.2,1.15,1.2,28523
624,2017-06-22,1.2,1.25,1.15,1.2,56621
625,2017-06-21,1.15,1.2,1.139,1.2,25223
626,2017-06-20,1.1,1.15,1.1,1.105,31629
627,2017-06-19,1.15,1.195,1.1,1.1,17965
628,2017-06-16,1.2,1.2,1.15,1.15,17595
629,2017-06-15,1.15,1.25,1.15,1.15,13074
630,2017-06-14,1.2,1.2,1.15,1.15,35276
631,2017-06-13,1.2,1.2,1.1,1.15,26456
632,2017-06-12,1.15,1.2,1.15,1.15,30177
633,2017-06-09,1.15,1.2,1.15,1.2,13069
634,2017-06-08,1.2,1.2,1.15,1.15,45865
635,2017-06-07,1.2,1.25,1.2,1.2,19046
636,2017-06-06,1.3,1.3,1.2,1.2,17930
637,2017-06-05,1.266,1.3,1.2,1.25,22773
638,2017-06-02,1.2,1.3,1.2,1.25,27962
639,2017-06-01,1.295,1.3,1.25,1.25,26823
640,2017-05-31,1.3,1.35,1.2,1.2,36878
641,2017-05-30,1.35,1.375,1.31,1.339,18502
642,2017-05-26,1.5,1.51,1.35,1.4,30545
643,2017-05-25,1.4,1.7,1.4,1.5,109555
644,2017-05-24,1.25,1.35,1.25,1.3,26130
645,2017-05-23,1.25,1.35,1.25,1.3,13545
646,2017-05-22,1.255,1.35,1.225,1.3,11805
647,2017-05-19,1.25,1.35,1.2,1.25,55816
648,2017-05-18,1.3,1.4,1.2,1.25,126647
649,2017-05-17,1.45,1.5,1.25,1.25,72822
650,2017-05-16,1.5,1.525,1.4,1.45,12349
651,2017-05-15,1.526,1.6,1.45,1.55,71722
652,2017-05-12,1.5,1.55,1.46,1.55,20194
653,2017-05-11,1.55,1.55,1.5,1.55,7174
654,2017-05-10,1.5,1.7,1.25,1.65,129059
655,2017-05-09,1.45,1.5,1.421,1.45,9515
656,2017-05-08,1.4,1.45,1.3,1.4,121811
657,2017-05-05,1.35,1.59,1.35,1.425,23961
658,2017-05-04,1.4,1.5,1.3,1.45,45479
659,2017-05-03,1.6,1.605,1.35,1.41,180368
660,2017-05-02,1.65,1.65,1.6,1.6,34913
661,2017-05-01,1.75,1.75,1.6,1.6,50371
662,2017-04-28,1.75,1.8,1.7,1.75,6214
663,2017-04-27,1.7,1.8,1.675,1.75,10575
664,2017-04-26,1.7,1.75,1.65,1.7,12170
665,2017-04-25,1.8,1.8,1.65,1.65,4874
666,2017-04-24,1.7,1.795,1.6,1.7,22943
667,2017-04-21,1.788,1.788,1.65,1.65,31662
668,2017-04-20,1.85,1.855,1.7,1.7,23714
669,2017-04-19,1.75,1.845,1.75,1.75,24118
670,2017-04-18,1.7,1.9,1.6,1.85,48579
671,2017-04-17,1.8,1.8,1.7,1.75,19916
672,2017-04-13,1.75,1.75,1.675,1.75,10133
673,2017-04-12,1.7,1.75,1.65,1.725,38539
674,2017-04-11,1.764,1.8,1.7,1.7,23481
675,2017-04-10,1.8,1.85,1.775,1.775,27880
676,2017-04-07,1.95,1.95,1.85,1.85,25155
677,2017-04-06,1.85,1.95,1.75,1.9,37791
678,2017-04-05,2.0,2.0,1.8,1.8,25239
679,2017-04-04,2.0,2.05,1.85,1.9,112761
680,2017-04-03,1.8,1.89,1.8,1.8,23659
681,2017-03-31,2.007,2.007,1.8,1.8,38809
682,2017-03-30,2.04,2.4,1.9,1.9,210180
683,2017-03-29,1.9,2.05,1.9,2.025,25923
684,2017-03-28,2.05,2.075,1.95,1.95,14687
685,2017-03-27,2.0,2.1,2.0,2.05,5585
686,2017-03-24,2.087,2.087,2.0,2.0,8513
687,2017-03-23,1.95,2.0,1.95,2.0,2257
688,2017-03-22,1.905,2.1,1.9,2.05,25089
689,2017-03-21,2.0,2.05,1.9,1.9,33240
690,2017-03-20,2.055,2.055,2.0,2.0,26050
691,2017-03-17,2.05,2.1,2.05,2.1,31079
692,2017-03-16,2.05,2.1,2.05,2.05,5506
693,2017-03-15,2.19,2.2,2.05,2.05,37949
694,2017-03-14,2.3,2.3,2.067,2.1,44301
695,2017-03-13,2.25,2.35,2.15,2.2,76598
